NAME,PER (orbital period) ,ECC ( e or g =ecentricity),A (semi major axis),MASS,R (radius of the planet),I (inclenation idk)
,s,,au,kg,au,deg
Kepler-1557 b,323164.076544,0,0.0488263,2.359381581E+025,6.49935961710718E-05,
Kepler-341 b,448893.6192,,0.0587074,9.938232501E+024,5.0309344483215E-05,
Kepler-311 c,1705387.9104,,0.142937,1.910680797E+025,6.09678163611813E-05,
Kepler-1509 b,2197482.02208,0,0.169257,2.585535738E+025,7.88525247663739E-05,
TRAPPIST-1 h,1621551.1392,0,0.0617089,1.977382128E+024,3.38478046765331E-05,89.796
Kepler-449 b,1087121.088,0,0.104767,,,
HD 181342 b,57283200,0.177,1.777,5.979841728E+027,,
WASP-8 b,704912.976,0.31,0.080153,4.059363639E+027,0.000496054064894,88.55
HD 131496 b,76291200,0.163,2.1121,4.255271505E+027,,
Kepler-154 c,5383003.0464,,0.307572,4.939012362E+025,0.000125772644367,
Kepler-334 c,1102291.632,,0.106855,1.910680797E+025,6.09678163611813E-05,
Kepler-911 b,1754827.2864,0,0.160616,3.967770351E+025,0.000110871428762,
Kepler-372 c,1732645.1232,,0.144457,2.947314036E+025,8.9106698244629E-05,
Kepler-127 b,1247260.8096,,0.11603,1.7802685875E+025,5.96889717776976E-05,
HD 44219 b,40806720,0.61,1.18713,1.1188374555E+027,,
75 Cet b,59780160,0.117,1.97678,5.23984239E+027,,
Kepler-27 b,1324926.72,0,0.10464,9.80146914E+025,0.00017038740288,
Kepler-210 b,211959.4176,,0.0355986,4.907493942E+025,0.000125346362839,
Kepler-40 b,593869.536,0,0.0806644,4.133166108E+027,0.000559136084707,89.7
Kepler-171 c,990443.1168,,0.0994986,3.87125943E+025,0.000109145275311,
KPS-1 b,147423.456,0,0.0269311,2.068785546E+027,0.000495590507627,83.12
Kepler-298 c,1981049.184,,0.157953,2.700103296E+025,8.22852380112034E-05,
Kepler-331 c,1493087.904,,0.130814,2.572415721E+025,7.84482263666627E-05,
Kepler-1538 b,15131993.9616,0,0.618691,4.560601452E+025,0.000120429310552,
Kepler-576 b,2584342.190016,0,0.18795,6.091713132E+025,0.000139545074132,
Kepler-479 b,1079430.889248,0,0.100206,2.994420783E+025,9.03219829142101E-05,
Kepler-915 b,396999.017856,0,0.0576393,2.247548151E+025,6.40378079920855E-05,
HD 220074 b,58069440,0.14,1.60044,2.124322521E+028,,
Kepler-133 b,702429.9264,,0.0791285,2.464778418E+025,7.50374962499499E-05,
Kepler-1185 b,9016003.95264,0,0.427921,1.5129088431E+025,5.68693966496878E-05,
Kepler-788 b,725627.176416,0,0.0849622,3.834975273E+025,0.000108481958315,
WASP-89 b,289994.92128,0.193,0.0427555,1.1054060517E+028,0.000497009853073,89.4
HAT-P-39 b,306190.368,0,0.0509456,1.1376934452E+027,0.000750771614594,87
WASP-26 b,238170.24,0,0.0399686,1.931851302E+027,0.000630820198131,82.5
Kepler-751 b,1507239.909504,0,0.125668,3.634225722E+025,0.000104658805599,
WASP-71 b,250877.49408,0,0.0463361,4.2568854E+027,0.00071684113424,84.2
HIP 2247 b,56643840,0.54,1.33884,9.727400853E+027,,
GJ 876 d,167424.192,0.207,0.0208066,3.497272491E+025,,
Kepler-312 c,1706176.3968,,0.142982,5.620759584E+025,0.000134299708606,
OGLE-TR-56 b,104708.9376,0,0.0238308,2.639193E+027,0.000651369643979,77.6
Kepler-697 b,320532.82416,0,0.0456151,1.0592999196E+026,0.000175865024933,
Kepler-826 b,387727.695648,0,0.0541184,1.2307107582E+025,5.35241380232356E-05,
Kepler-235 c,676071.7056,,0.0771364,1.3151592381E+025,5.45726376555836E-05,
